Sample,Score_Min,Alignment_Rate
trimmed_LCM_11_S3,L-1-0.6,mapping efficiency  25.9%
trimmed_LCM_11_S3,L0-0.4,mapping efficiency  23.6%
trimmed_LCM_11_S3,L0-0.6,mapping efficiency  25.8%
trimmed_LCM_11_S3,L0-0.8,mapping efficiency  27.0%
trimmed_LCM_11_S3,L0-1.0,mapping efficiency  28.0%
trimmed_LCM_12_S4,L-1-0.6,mapping efficiency  26.8%
trimmed_LCM_12_S4,L0-0.4,mapping efficiency  24.2%
trimmed_LCM_12_S4,L0-0.6,mapping efficiency  26.7%
trimmed_LCM_12_S4,L0-0.8,mapping efficiency  28.1%
trimmed_LCM_12_S4,L0-1.0,mapping efficiency  29.4%
trimmed_LCM_17_S7,L-1-0.6,mapping efficiency  26.9%
trimmed_LCM_17_S7,L0-0.4,mapping efficiency  24.7%
trimmed_LCM_17_S7,L0-0.6,mapping efficiency  26.9%
trimmed_LCM_17_S7,L0-0.8,mapping efficiency  27.9%
trimmed_LCM_17_S7,L0-1.0,mapping efficiency  28.9%
trimmed_LCM_18_S8,L-1-0.6,mapping efficiency  33.5%
trimmed_LCM_18_S8,L0-0.4,mapping efficiency  31.0%
trimmed_LCM_18_S8,L0-0.6,mapping efficiency  33.5%
trimmed_LCM_18_S8,L0-0.8,mapping efficiency  34.8%
trimmed_LCM_18_S8,L0-1.0,mapping efficiency  35.9%
trimmed_LCM_1_S1,L-1-0.6,mapping efficiency  30.5%
trimmed_LCM_1_S1,L0-0.4,mapping efficiency  27.6%
trimmed_LCM_1_S1,L0-0.6,mapping efficiency  30.4%
trimmed_LCM_1_S1,L0-0.8,mapping efficiency  32.0%
trimmed_LCM_1_S1,L0-1.0,mapping efficiency  33.2%
trimmed_LCM_24_S5,L-1-0.6,mapping efficiency  49.4%
trimmed_LCM_24_S5,L0-0.4,mapping efficiency  45.4%
trimmed_LCM_24_S5,L0-0.6,mapping efficiency  49.3%
trimmed_LCM_24_S5,L0-0.8,mapping efficiency  51.6%
trimmed_LCM_24_S5,L0-1.0,mapping efficiency  53.0%
trimmed_LCM_25_S6,L-1-0.6,mapping efficiency  38.2%
trimmed_LCM_25_S6,L0-0.4,mapping efficiency  35.0%
trimmed_LCM_25_S6,L0-0.6,mapping efficiency  38.1%
trimmed_LCM_25_S6,L0-0.8,mapping efficiency  40.1%
trimmed_LCM_25_S6,L0-1.0,mapping efficiency  41.3%
trimmed_LCM_32_S9,L-1-0.6,mapping efficiency  26.6%
trimmed_LCM_32_S9,L0-0.4,mapping efficiency  24.6%
trimmed_LCM_32_S9,L0-0.6,mapping efficiency  26.5%
trimmed_LCM_32_S9,L0-0.8,mapping efficiency  27.8%
trimmed_LCM_32_S9,L0-1.0,mapping efficiency  28.9%
trimmed_LCM_33_S10,L-1-0.6,mapping efficiency  14.3%
trimmed_LCM_33_S10,L0-0.4,mapping efficiency  12.9%
trimmed_LCM_33_S10,L0-0.6,mapping efficiency  14.1%
trimmed_LCM_33_S10,L0-0.8,mapping efficiency  15.1%
trimmed_LCM_33_S10,L0-1.0,mapping efficiency  16.2%
trimmed_LCM_3_S2,L-1-0.6,mapping efficiency  28.7%
trimmed_LCM_3_S2,L0-0.4,mapping efficiency  26.3%
trimmed_LCM_3_S2,L0-0.6,mapping efficiency  28.6%
trimmed_LCM_3_S2,L0-0.8,mapping efficiency  30.1%
trimmed_LCM_3_S2,L0-1.0,mapping efficiency  31.3%
